Date,City,StationId,AQI,AQI_Bucket,Risk,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Predicted_Risk
2020-05-20,Bhopal,MP001,115.0,Moderate,Moderate,16.4,105.71,1.05,10.15,6.34,7.75,0.36,14.42,89.05,,,,Moderate
2020-05-21,Bhopal,MP001,135.0,Moderate,Moderate,22.62,90.6,1.18,9.55,6.09,9.79,0.45,20.3,103.85,,,,Moderate
2020-05-22,Bhopal,MP001,92.0,Satisfactory,Low,25.27,90.14,2.03,8.39,5.99,9.36,0.38,13.3,76.7,,,,Moderate
2020-05-23,Bhopal,MP001,89.0,Satisfactory,Low,20.18,62.33,1.0,5.42,3.76,8.61,0.32,11.52,69.56,,,,Moderate
2020-05-24,Bhopal,MP001,71.0,Satisfactory,Low,18.29,44.35,0.93,4.25,3.05,7.82,0.27,9.01,58.9,,,,Moderate
2020-05-25,Bhopal,MP001,56.0,Satisfactory,Low,17.38,38.97,0.96,4.44,3.23,7.94,0.3,13.03,40.33,,,,Low
2020-05-26,Bhopal,MP001,80.0,Satisfactory,Low,14.9,62.85,1.02,4.83,3.48,7.61,0.28,11.31,57.61,,,,Low
2020-05-27,Bhopal,MP001,98.0,Satisfactory,Low,20.03,121.91,1.16,5.98,4.16,9.85,0.32,13.42,69.97,,,,Low
2020-05-28,Bhopal,MP001,111.0,Moderate,Moderate,17.85,114.83,1.14,5.46,3.91,10.6,0.3,12.38,71.28,,,,Moderate
2020-05-29,Bhopal,MP001,110.0,Moderate,Moderate,19.7,111.09,1.15,5.82,4.1,12.14,0.33,13.02,45.17,,,,Moderate
2020-05-30,Bhopal,MP001,116.0,Moderate,Moderate,21.88,154.8,1.21,5.49,3.99,11.91,0.33,8.67,57.96,,,,Low
2020-05-31,Bhopal,MP001,134.0,Moderate,Moderate,29.45,134.89,1.05,6.19,4.21,12.83,0.4,5.72,47.8,,,,Moderate
2020-06-01,Bhopal,MP001,120.0,Moderate,Moderate,21.03,96.44,0.59,6.88,4.14,11.5,0.41,7.93,42.81,,,,Moderate
2020-06-02,Bhopal,MP001,89.0,Satisfactory,Low,16.93,65.39,0.96,6.58,4.36,12.08,0.39,11.66,35.03,,,,Low
2020-06-03,Bhopal,MP001,64.0,Satisfactory,Low,17.26,46.43,1.24,7.38,5.03,12.48,0.42,10.4,43.81,,,,Low
2020-06-04,Bhopal,MP001,75.0,Satisfactory,Low,7.93,13.16,1.66,9.12,6.2,17.92,0.43,16.54,55.45,,,,Low
2020-06-05,Bhopal,MP001,70.0,Satisfactory,Low,13.61,35.54,1.57,9.09,6.19,15.93,0.44,15.65,47.51,,,,Low
2020-06-06,Bhopal,MP001,66.0,Satisfactory,Low,19.53,49.9,2.01,11.56,7.87,16.63,0.43,13.32,42.73,,,,Low
2020-06-07,Bhopal,MP001,78.0,Satisfactory,Low,14.54,42.14,1.66,9.51,6.48,17.14,0.42,12.11,45.73,,,,Low
2020-06-08,Bhopal,MP001,76.0,Satisfactory,Low,12.75,43.49,1.63,9.41,6.42,15.18,0.43,12.78,49.62,,,,Low
2020-06-09,Bhopal,MP001,73.0,Satisfactory,Low,15.77,50.01,1.59,9.24,6.29,14.8,0.52,15.7,53.27,,,,Low
2020-06-10,Bhopal,MP001,68.0,Satisfactory,Low,15.42,53.78,1.65,12.02,7.82,17.39,0.52,11.13,46.84,,,,Low
2020-06-11,Bhopal,MP001,65.0,Satisfactory,Low,20.25,65.16,1.94,14.5,9.38,17.99,0.63,22.7,31.68,,,,Low
2020-06-12,Bhopal,MP001,79.0,Satisfactory,Low,24.26,67.49,1.49,12.35,7.87,19.28,0.65,9.76,53.91,,,,Low
2020-06-13,Bhopal,MP001,67.0,Satisfactory,Low,21.85,49.55,1.79,13.89,8.95,19.94,0.71,7.46,37.84,,,,Low
2020-06-14,Bhopal,MP001,67.0,Satisfactory,Low,20.64,42.36,1.3,9.29,6.08,21.49,0.58,9.63,40.36,,,,Low
2020-06-15,Bhopal,MP001,84.0,Satisfactory,Low,12.16,29.73,1.12,10.12,6.29,18.88,0.59,8.15,75.59,,,,Low
2020-06-16,Bhopal,MP001,90.0,Satisfactory,Low,14.33,34.91,3.65,12.29,9.58,17.27,0.49,8.8,80.5,,,,Low
2020-06-17,Bhopal,MP001,87.0,Satisfactory,Low,15.38,45.42,3.9,13.45,10.42,16.9,0.46,20.16,79.64,,,,Low
2020-06-18,Bhopal,MP001,86.0,Satisfactory,Low,15.62,48.76,4.17,15.27,11.6,15.78,0.58,10.84,77.57,,,,Low
2020-06-19,Bhopal,MP001,81.0,Satisfactory,Low,16.08,48.35,5.38,19.92,15.06,13.28,0.94,12.91,66.66,,,,Low
2020-06-20,Bhopal,MP001,72.0,Satisfactory,Low,17.49,49.39,2.22,9.81,7.11,17.78,0.87,12.01,54.27,,,,Low
2020-06-21,Bhopal,MP001,59.0,Satisfactory,Low,20.94,66.39,1.48,9.01,6.08,27.57,0.47,10.21,41.3,,,,Low
2020-06-22,Bhopal,MP001,67.0,Satisfactory,Low,19.17,55.27,2.04,11.02,7.6,17.01,0.54,10.56,47.58,,,,Low
2020-06-23,Bhopal,MP001,52.0,Satisfactory,Low,15.56,39.65,1.9,9.46,6.66,16.08,0.55,10.78,40.8,,,,Low
2020-06-24,Bhopal,MP001,64.0,Satisfactory,Low,14.49,40.62,2.59,11.66,8.41,14.6,0.56,9.29,54.42,,,,Low
2020-06-25,Bhopal,MP001,55.0,Satisfactory,Low,19.66,51.12,2.33,10.96,7.81,14.01,0.62,8.9,38.72,,,,Low
2020-06-26,Bhopal,MP001,60.0,Satisfactory,Low,16.85,40.64,2.56,12.46,8.79,15.39,0.64,15.41,33.59,,,,Low
2020-06-27,Bhopal,MP001,66.0,Satisfactory,Low,11.04,26.77,2.08,7.55,5.8,12.86,0.48,9.48,51.27,,,,Low
2020-06-28,Bhopal,MP001,55.0,Satisfactory,Low,13.58,37.76,1.79,5.54,4.49,12.56,0.41,12.83,48.24,,,,Low
2020-06-29,Bhopal,MP001,56.0,Satisfactory,Low,14.68,43.1,1.94,8.22,6.04,12.8,0.46,13.28,48.45,,,,Low
2020-06-30,Bhopal,MP001,59.0,Satisfactory,Low,14.48,46.7,2.02,9.17,6.62,11.19,0.5,12.78,50.01,,,,Low
2020-07-01,Bhopal,MP001,69.0,Satisfactory,Low,14.0,30.0,1.1,5.12,3.62,8.05,0.35,12.45,48.77,,,,Low
